id,Details,NDVI_TAMU,NDVI_WSU,Yield
46,HiRain_SWW_SP,0.961588163,0.683306165,104.896
47,HiRain_SWW_SP,0.942665923,0.612512654,94.592
48,HiRain_SWW_SP,0.953825993,0.642936932,93.408
49,HiRain_SWW_SP,0.959141774,0.675229356,102.72
50,HiRain_SWW_SP,0.958459412,0.665032048,96.48
51,HiRain_SWW_SP,0.918847346,0.502733959,89.504
52,HiRain_SWW_SP,0.953892571,0.63834007,91.968
53,HiRain_SWW_SP,0.929686794,0.554954521,73.664
54,HiRain_SWW_SP,0.94682975,0.604654862,83.84
55,HiRain_SWW_SP,0.956593918,0.646563269,88.896
56,HiRain_SWW_SP,0.957722983,0.65009637,87.456
57,HiRain_SWW_SP,0.949403004,0.610458858,82.656
58,HiRain_SWW_SP,0.953418211,0.630737524,93.696
59,HiRain_SWW_SP,0.950018231,0.605317338,87.744
60,HiRain_SWW_SP,0.957074268,0.652087114,92.544
61,HiRain_SWW_SP,0.945101261,0.578535384,77.28
62,HiRain_SWW_SP,0.964640436,0.697457863,98.944
63,HiRain_SWW_SP,0.958249242,0.666831818,98.368
64,HiRain_SWW_SP,0.96071757,0.666756716,103.008
65,HiRain_SWW_SP,0.948663413,0.611916133,89.632
66,HiRain_SWW_SP,0.958919547,0.66435186,101.856
67,HiRain_SWW_SP,0.926775556,0.538488046,59.264
68,HiRain_SWW_SP,0.941917871,0.596663696,62.624
69,HiRain_SWW_SP,0.963548458,0.693762558,104.736
70,HiRain_SWW_SP,0.958219791,0.697688449,80.064
71,HiRain_SWW_SP,0.95625456,0.657339155,91.968
72,HiRain_SWW_SP,0.94614264,0.632231583,73.376
73,HiRain_SWW_SP,0.933101625,0.577783372,75.84
74,HiRain_SWW_SP,0.914247723,0.533681014,60.576
75,HiRain_SWW_SP,0.924101692,0.538755139,70.592
76,HiRain_SWW_SP,0.874914064,0.52694688,41.248
77,HiRain_SWW_SP,0.952057619,0.643538928,89.344
78,HiRain_SWW_SP,0.94047338,0.570818261,86.304
79,HiRain_SWW_SP,0.936750711,0.556250644,88.032
80,HiRain_SWW_SP,0.946344923,0.599188846,91.392
81,HiRain_SWW_SP,0.961428967,0.691166685,107.808
82,HiRain_SWW_SP,0.938632606,0.570731218,74.528
83,HiRain_SWW_SP,0.922901474,0.5557195,60.576
84,HiRain_SWW_SP,0.9354198,0.567097326,62.176
85,HiRain_SWW_SP,0.961094451,0.6758051,88.896
86,HiRain_SWW_SP,0.939895605,0.560780693,92.704
87,HiRain_SWW_SP,0.939706628,0.565131576,101.12
88,HiRain_SWW_SP,0.932689895,0.547536511,94.88
89,HiRain_SWW_SP,0.936200372,0.548943471,79.168
90,HiRain_SWW_SP,0.9366711,0.57855872,89.216
